station,state,latitude,longitude,elevation,date,TMIN,TMAX,TAVG,AWND,WDF5,WSF5,SNOW,SNWD,PRCP
NIAGARA FALLS INTL AP,NY,43.1072,-78.9453,178.3,20170304,12.2,22.1,,9.618842,360,25.053728,,,0
NIAGARA FALLS INTL AP,NY,43.1072,-78.9453,178.3,20170328,42.08,50,,8.052984,360,18.119214,,,0
NIAGARA FALLS INTL AP,NY,43.1072,-78.9453,178.3,20170527,53.96,69.98,,2.908022,360,10.06623,,,0
NIAGARA FALLS INTL AP,NY,43.1072,-78.9453,178.3,20170607,51.98,71.96,,7.158208,360,21.922012,,,0
NIAGARA FALLS INTL AP,NY,43.1072,-78.9453,178.3,20170720,62.96,78.08,,6.487126,360,29.08022,,,0.75196891
NIAGARA FALLS INTL AP,NY,43.1072,-78.9453,178.3,20170825,53.96,71.06,,4.250186,360,18.119214,,,0
NIAGARA FALLS INTL AP,NY,43.1072,-78.9453,178.3,20170911,,,,,360,16.105968,,,0
BINGHAMTON,NY,42.1997,-75.985,489.5,20170413,33.98,50,41.9,9.395148,360,21.922012,0,0,0
BINGHAMTON,NY,42.1997,-75.985,489.5,20170421,46.04,57.92,53.78,10.06623,360,23.935258,0,0,0.42126007
BINGHAMTON,NY,42.1997,-75.985,489.5,20170614,57.02,75.92,67.64,7.381902,360,18.119214,0,0,0
BINGHAMTON,NY,42.1997,-75.985,489.5,20170730,51.98,75.92,64.22,6.934514,360,19.01399,0,0,0
BINGHAMTON,NY,42.1997,-75.985,489.5,20170909,44.96,55.94,50.36,8.052984,360,21.922012,0,0,0
BRADFORD RGNL AP,PA,41.8031,-78.6403,645.3,20170413,31.1,50,,3.579104,360,14.092722,,,0
BRADFORD RGNL AP,PA,41.8031,-78.6403,645.3,20170510,39.02,64.94,,4.026492,360,16.105968,,,0
BRADFORD RGNL AP,PA,41.8031,-78.6403,645.3,20170725,53.06,66.92,,7.158208,360,17.000744,,,0.07086618
BRADFORD RGNL AP,PA,41.8031,-78.6403,645.3,20170825,46.04,69.08,,3.35541,360,16.105968,,,0
BRADFORD RGNL AP,PA,41.8031,-78.6403,645.3,20170909,41,60.98,,4.026492,360,18.119214,,,0
FITCHBURG MUNI AP,MA,42.5519,-71.7558,106.1,20170118,32,35.06,,4.47388,360,14.092722,,,0.22834658
FITCHBURG MUNI AP,MA,42.5519,-71.7558,106.1,20170826,50,77,,3.131716,360,16.105968,,,0
FITCHBURG MUNI AP,MA,42.5519,-71.7558,106.1,20170902,46.04,73.94,,3.802798,360,14.092722,,,0
FITCHBURG MUNI AP,MA,42.5519,-71.7558,106.1,20170906,60.98,71.96,,3.35541,360,23.935258,,,2.74015896
FITCHBURG MUNI AP,MA,42.5519,-71.7558,106.1,20170915,68,84.92,,2.23694,360,14.987498,,,0.16929143
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170107,20.12,25.16,23.54,13.645334,360,29.08022,9.6850446,1.181103,0.51968532
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170114,26.24,33.08,29.84,5.368656,360,21.922012,1.4960638,0,0.12992133
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170422,46.94,53.06,49.82,8.052984,360,19.908766,0,0,0.07086618
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170626,59,78.08,70.88,8.724066,360,27.96175,0,0,0
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170725,62.06,71.06,64.94,6.71082,360,17.000744,0,0,0
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170816,64.94,87.08,75.38,6.71082,360,21.027236,0,0,0
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170909,53.96,69.98,61.88,9.395148,360,21.922012,0,0,0
ISLIP LI MACARTHUR AP,NY,40.7939,-73.1017,25.6,20170911,53.06,77,64.22,6.71082,360,18.119214,0,0,0
DUBOIS JEFFERSON CO AP,PA,41.1783,-78.8989,552.9,20170825,50,68,,3.131716,360,12.974252,0,0,0
FRENCHVILLE AROOSTOOK AP,ME,47.2856,-68.3133,301.1,20170122,22.1,30.2,,9.395148,360,23.040482,,,0
